Stabr,area_name,Employed_2019,Unemployed_2019,Unemployment_rate_2019
FL,"Escambia County, FL","141,253","4,666",3.2
FL,"Flagler County, FL","45,235","1,795",3.8
FL,"Franklin County, FL","4,486",164,3.5
FL,"Gadsden County, FL","18,061",772,4.1
FL,"Gilchrist County, FL","6,900",245,3.4
FL,"Glades County, FL","5,173",211,3.9
FL,"Gulf County, FL","5,495",277,4.8
FL,"Hamilton County, FL","4,162",178,4.1
FL,"Hardee County, FL","8,074",428,5
FL,"Hendry County, FL","14,680",907,5.8
FL,"Hernando County, FL","68,906","3,017",4.2
FL,"Highlands County, FL","34,452","1,642",4.5
FL,"Hillsborough County, FL","727,117","23,152",3.1
FL,"Holmes County, FL","6,701",246,3.5
FL,"Indian River County, FL","62,949","2,508",3.8
FL,"Jackson County, FL","16,522",623,3.6
FL,"Jefferson County, FL","5,436",187,3.3
FL,"Lafayette County, FL","2,769",86,3
FL,"Lake County, FL","153,919","5,108",3.2
FL,"Lee County, FL","337,116","10,911",3.1
FL,"Leon County, FL","150,713","4,780",3.1
FL,"Levy County, FL","16,104",621,3.7
FL,"Liberty County, FL","2,545",94,3.6
FL,"Madison County, FL","7,188",281,3.8
FL,"Manatee County, FL","174,382","5,611",3.1
FL,"Marion County, FL","132,335","5,289",3.8
FL,"Martin County, FL","71,786","2,333",3.1
FL,"Miami-Dade County, FL","1,350,924","33,065",2.4
FL,"Monroe County, FL","45,792",963,2.1
FL,"Nassau County, FL","40,000","1,210",2.9
FL,"Okaloosa County, FL","94,342","2,598",2.7
FL,"Okeechobee County, FL","17,184",617,3.5
FL,"Orange County, FL","740,564","22,173",2.9
FL,"Osceola County, FL","178,283","6,046",3.3
FL,"Palm Beach County, FL","709,694","23,969",3.3
FL,"Pasco County, FL","229,631","8,310",3.5
FL,"Pinellas County, FL","479,472","14,713",3
FL,"Polk County, FL","294,472","11,280",3.7
FL,"Putnam County, FL","25,413","1,150",4.3
FL,"St. Johns County, FL","128,970","3,494",2.6
FL,"St. Lucie County, FL","139,389","5,722",3.9
FL,"Santa Rosa County, FL","80,448","2,455",3
FL,"Sarasota County, FL","183,288","5,849",3.1
FL,"Seminole County, FL","248,085","7,444",2.9
FL,"Sumter County, FL","31,126","1,502",4.6
FL,"Suwannee County, FL","17,427",619,3.4
FL,"Taylor County, FL","7,934",295,3.6
FL,"Union County, FL","4,501",137,3
