Stabr,Area_name,POVALL_2019,PCTPOVALL_2019
FL,Nassau County,"7,951",9
FL,Okaloosa County,"21,866",10.6
FL,Okeechobee County,"7,189",18.4
FL,Orange County,"171,599",12.6
FL,Osceola County,"49,803",13.4
FL,Palm Beach County,"168,026",11.4
FL,Pasco County,"61,716",11.3
FL,Pinellas County,"108,948",11.4
FL,Polk County,"99,590",14
FL,Putnam County,"16,318",22.4
FL,St. Johns County,"16,829",6.4
FL,St. Lucie County,"34,008",10.5
FL,Santa Rosa County,"17,435",9.8
FL,Sarasota County,"33,144",7.8
FL,Seminole County,"43,741",9.3
FL,Sumter County,"11,078",8.9
FL,Suwannee County,"7,144",17.1
FL,Taylor County,"3,792",19.9
FL,Union County,"2,065",19.9
FL,Volusia County,"70,554",13.1
FL,Wakulla County,"3,651",12
FL,Walton County,"7,740",10.8
FL,Washington County,"4,587",20.1
GA,Georgia,"1,397,607",13.5
GA,Appling County,"3,737",20.9
GA,Atkinson County,"1,887",23.2
GA,Bacon County,"2,080",19.2
GA,Baker County,749,24.8
GA,Baldwin County,"8,934",22.9
GA,Banks County,"2,454",12.8
GA,Barrow County,"8,021",9.7
GA,Bartow County,"13,243",12.5
GA,Ben Hill County,"3,738",22.8
GA,Berrien County,"3,843",20.1
GA,Bibb County,"33,912",23.2
GA,Bleckley County,"2,112",18.5
GA,Brantley County,"3,056",16.1
GA,Brooks County,"3,372",21.9
GA,Bryan County,"3,073",7.8
GA,Bulloch County,"15,945",21.9
GA,Burke County,"5,197",23.6
GA,Butts County,"3,217",14.7
GA,Calhoun County,"1,608",35.9
GA,Camden County,"7,219",13.8
GA,Candler County,"2,427",23.1
GA,Carroll County,"17,148",14.9
GA,Catoosa County,"6,704",10
GA,Charlton County,"2,804",25.9
GA,Chatham County,"40,565",14.8
GA,Chattahoochee County,"1,547",18.5
GA,Chattooga County,"4,085",17.4
GA,Cherokee County,"16,725",6.5
GA,Clarke County,"30,277",25.7
GA,Clay County,797,28.8
GA,Clayton County,"45,655",16
GA,Clinch County,"1,435",22
GA,Cobb County,"62,275",8.3
GA,Coffee County,"8,048",20.2
GA,Colquitt County,"9,738",21.9
GA,Columbia County,"8,747",5.6
GA,Cook County,"3,654",21.4
GA,Coweta County,"13,318",9
GA,Crawford County,"1,875",15.3
GA,Crisp County,"5,830",26.7
GA,Dade County,"2,038",13.5
GA,Dawson County,"2,267",8.8
GA,Decatur County,"5,915",23.4
GA,DeKalb County,"95,805",12.9
GA,Dodge County,"3,853",20.6
GA,Dooly County,"3,236",28.2
GA,Dougherty County,"23,192",27.6
GA,Douglas County,"15,842",10.9
GA,Early County,"2,733",27.3
GA,Echols County,861,21.6
GA,Effingham County,"5,784",9.1
GA,Elbert County,"3,897",20.6
GA,Emanuel County,"4,441",20.9
GA,Evans County,"2,459",24.1
GA,Fannin County,"3,144",12.1
GA,Fayette County,"6,105",5.4
GA,Floyd County,"15,537",16.4
GA,Forsyth County,"11,024",4.5
GA,Franklin County,"3,887",17.3
GA,Fulton County,"141,979",13.8
GA,Gilmer County,"4,543",14.6
GA,Glascock County,486,16.9
GA,Glynn County,"12,943",15.4
GA,Gordon County,"7,001",12.3
GA,Grady County,"5,276",21.7
GA,Greene County,"2,709",15
GA,Gwinnett County,"85,810",9.2
GA,Habersham County,"6,515",15.2
GA,Hall County,"27,137",13.5
GA,Hancock County,"2,225",31.2
GA,Haralson County,"4,223",14.4
GA,Harris County,"2,270",6.5
GA,Hart County,"3,717",14.6
GA,Heard County,"1,958",16.7
GA,Henry County,"18,819",8.1
GA,Houston County,"17,079",11
GA,Irwin County,"1,699",20.5
GA,Jackson County,"7,418",10.3
GA,Jasper County,"1,748",12.4
GA,Jeff Davis County,"3,169",21.2
GA,Jefferson County,"3,710",25.1
GA,Jenkins County,"2,162",29
GA,Johnson County,"1,931",24.2
GA,Jones County,"3,629",12.8
GA,Lamar County,"2,641",14.8
GA,Lanier County,"1,871",18.5
GA,Laurens County,"11,049",23.9
GA,Lee County,"2,715",9.3
GA,Liberty County,"8,680",14.5
GA,Lincoln County,"1,357",17.3
GA,Long County,"2,726",14.2
GA,Lowndes County,"22,685",20.4
GA,Lumpkin County,"4,432",14.5
GA,McDuffie County,"3,792",18
GA,McIntosh County,"2,671",18.7
GA,Macon County,"3,249",29.4
GA,Madison County,"4,608",15.6
GA,Marion County,"1,745",21.1
GA,Meriwether County,"4,634",22.2
GA,Miller County,"1,193",21.3
GA,Mitchell County,"6,048",30.7
GA,Monroe County,"2,787",10.6
GA,Montgomery County,"1,619",19.4
GA,Morgan County,"2,109",11.1
GA,Murray County,"5,755",14.5
GA,Muscogee County,"34,694",18.4
GA,Newton County,"12,348",11.2
GA,Oconee County,"2,236",5.6
GA,Oglethorpe County,"1,922",12.8
GA,Paulding County,"11,461",6.8
GA,Peach County,"5,203",19.8
GA,Pickens County,"3,327",10.3
GA,Pierce County,"3,157",16.4
GA,Pike County,"1,615",8.7
GA,Polk County,"6,816",16.2
GA,Pulaski County,"2,048",20.7
GA,Putnam County,"3,316",15.1
GA,Quitman County,523,22.8
GA,Rabun County,"2,181",13
GA,Randolph County,"1,635",25.3
GA,Richmond County,"41,081",21.7
GA,Rockdale County,"10,873",12.1
GA,Schley County,834,15.9
GA,Screven County,"3,239",24.1
GA,Seminole County,"1,808",22.6
GA,Spalding County,"11,537",17.7
GA,Stephens County,"3,794",15
GA,Stewart County,"1,702",34.7
GA,Sumter County,"7,420",26.7
GA,Talbot County,"1,210",19.6
GA,Taliaferro County,345,22.5
GA,Tattnall County,"5,507",26.5
GA,Taylor County,"1,810",22.9
GA,Telfair County,"3,516",27.7
GA,Terrell County,"2,325",28.2
GA,Thomas County,"7,894",18
GA,Tift County,"8,380",21.5
GA,Toombs County,"5,086",19.2
GA,Towns County,"1,376",12.7
GA,Treutlen County,"2,043",31.6
GA,Troup County,"13,009",19.2
GA,Turner County,"2,132",28
GA,Twiggs County,"1,522",19
GA,Union County,"2,800",11.6
GA,Upson County,"4,932",19.1
GA,Walker County,"10,034",14.7
GA,Walton County,"10,070",10.8
GA,Ware County,"8,742",26.3
GA,Warren County,"1,372",26.5
GA,Washington County,"3,940",21.4
GA,Wayne County,"5,116",18.4
GA,Webster County,477,18.4
GA,Wheeler County,"1,821",34.2
GA,White County,"3,259",10.9
GA,Whitfield County,"13,110",12.7
GA,Wilcox County,"1,991",29.4
GA,Wilkes County,"1,875",19.6
GA,Wilkinson County,"1,491",17
GA,Worth County,"4,061",20.3
HI,Hawaii,"124,650",9
HI,Hawaii County,"26,071",13.1
HI,Honolulu County,"74,282",7.9
HI,Kauai County,"6,659",9.3
HI,Maui County,"17,638",10.7
ID,Idaho,"193,741",11
ID,Ada County,"44,023",9.4
ID,Adams County,539,12.7
ID,Bannock County,"11,554",13.5
ID,Bear Lake County,717,11.8
ID,Benewah County,"1,415",15.4
ID,Bingham County,"5,145",11.1
ID,Blaine County,"1,657",7.2
ID,Boise County,899,11.6
ID,Bonner County,"5,689",12.6
ID,Bonneville County,"10,953",9.3
ID,Boundary County,"1,794",14.8
ID,Butte County,376,14.6
ID,Camas County,99,9
ID,Canyon County,"22,828",10.1
ID,Caribou County,718,10.1
ID,Cassia County,"2,843",12
ID,Clark County,122,14.5
ID,Clearwater County,"1,082",13.5
ID,Custer County,556,13
ID,Elmore County,"3,758",14.1
ID,Franklin County,"1,122",8.2
ID,Fremont County,"1,598",12.7
ID,Gem County,"2,266",12.7
ID,Gooding County,"2,285",15.1
ID,Idaho County,"2,227",13.8
ID,Jefferson County,"2,723",9.2
ID,Jerome County,"3,429",14.2
ID,Kootenai County,"16,374",10
ID,Latah County,"4,353",11.7
ID,Lemhi County,"1,070",13.5
ID,Lewis County,502,13.2
ID,Lincoln County,592,11.2
ID,Madison County,"10,731",27.4
ID,Minidoka County,"2,361",11.3
ID,Nez Perce County,"4,372",11.1
ID,Oneida County,507,11.3
ID,Owyhee County,"1,736",14.9
ID,Payette County,"2,615",11
ID,Power County,998,13.1
ID,Shoshone County,"2,426",19.1
ID,Teton County,931,7.7
ID,Twin Falls County,"9,420",11
ID,Valley County,995,8.8
ID,Washington County,"1,345",13.4
IL,Illinois,"1,415,838",11.4
IL,Adams County,"7,786",12.3
IL,Alexander County,"1,361",24
IL,Bond County,"1,920",13
IL,Boone County,"4,701",8.9
IL,Brown County,674,14.8
IL,Bureau County,"3,594",11.2
IL,Calhoun County,452,9.7
IL,Carroll County,"1,560",11.1
IL,Cass County,"1,554",13
IL,Champaign County,"38,566",19.9
IL,Christian County,"3,769",12.3
IL,Clark County,"1,636",10.8
IL,Clay County,"1,793",13.8
IL,Clinton County,"2,645",7.5
IL,Coles County,"7,957",16.8
IL,Cook County,"659,687",13
IL,Crawford County,"2,170",12.6
IL,Cumberland County,"1,075",10.1
IL,DeKalb County,"12,909",13
IL,De Witt County,"1,683",11
IL,Douglas County,"1,544",8
IL,DuPage County,"54,833",6
